RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 12,"₹3,95,931 - ₹4,20,422
 Price range for this vehicle in Fair condition","₹4,06,084 - ₹4,31,202
 Price range for this vehicle in Good condition","₹4,16,236 - ₹4,41,982
 Price range for this vehicle in Very Good condition","₹4,26,388 - ₹4,52,763
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/toyota-innova-20-g4-2008-612a0b7ff3ed4418068b4577
MH 12,"₹1,10,950 - ₹1,17,813
 Price range for this vehicle in Fair condition","₹1,13,795 - ₹1,20,834
 Price range for this vehicle in Good condition","₹1,16,640 - ₹1,23,855
 Price range for this vehicle in Very Good condition","₹1,19,485 - ₹1,26,875
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-zen-estilo-lxi-2007-612658c409b75309058b4576
MH 14,"₹1,50,254 - ₹1,59,547
 Price range for this vehicle in Fair condition","₹1,54,106 - ₹1,63,638
 Price range for this vehicle in Good condition","₹1,57,959 - ₹1,67,729
 Price range for this vehicle in Very Good condition","₹1,61,811 - ₹1,71,820
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-santro-xing-xg-at-erlx-euro-ii-2007-612656eac1019aff058b4694
MH 16,"₹4,72,866 - ₹5,02,116
 Price range for this vehicle in Fair condition","₹4,84,991 - ₹5,14,990
 Price range for this vehicle in Good condition","₹4,97,116 - ₹5,27,865
 Price range for this vehicle in Very Good condition","₹5,09,241 - ₹5,40,740
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/mahindra-thar-crde-4x4-bs-iv-2013-6129f2143d9334284c8b45d6
MH 12,"₹2,02,137 - ₹2,14,640
 Price range for this vehicle in Fair condition","₹2,07,320 - ₹2,20,144
 Price range for this vehicle in Good condition","₹2,12,503 - ₹2,25,647
 Price range for this vehicle in Very Good condition","₹2,17,686 - ₹2,31,151
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-accent-gle-cng-2011-6129f405d5ceb6a77d8b45c4
MH 12,"₹8,30,329 - ₹8,81,689
 Price range for this vehicle in Fair condition","₹8,51,619 - ₹9,04,296
 Price range for this vehicle in Good condition","₹8,72,910 - ₹9,26,904
 Price range for this vehicle in Very Good condition","₹8,94,200 - ₹9,49,512
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/toyota-innova-25-g-8-str-bs-iv-2016-612cd3cb5b30280c068b45d9
MH 14,"₹5,14,392 - ₹5,46,210
 Price range for this vehicle in Fair condition","₹5,27,581 - ₹5,60,215
 Price range for this vehicle in Good condition","₹5,40,771 - ₹5,74,220
 Price range for this vehicle in Very Good condition","₹5,53,960 - ₹5,88,226
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/volkswagen-polo-highline-15l-d-2016-612cb4a0359e43ba578b45b6
MH 15,"₹5,51,286 - ₹5,85,386
 Price range for this vehicle in Fair condition","₹5,65,421 - ₹6,00,396
 Price range for this vehicle in Good condition","₹5,79,557 - ₹6,15,406
 Price range for this vehicle in Very Good condition","₹5,93,693 - ₹6,30,416
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/skoda-superb-elegance-18-tsi-at-2010-612cb12cf5c47c95218b458b
MH 12,"₹2,01,253 - ₹2,13,701
 Price range for this vehicle in Fair condition","₹2,06,413 - ₹2,19,181
 Price range for this vehicle in Good condition","₹2,11,574 - ₹2,24,661
 Price range for this vehicle in Very Good condition","₹2,16,733 - ₹2,30,140
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/hyundai-santro-xing-gl-cng-2013-612cae3adc1b44f4048b478f
MH 12,"₹5,72,078 - ₹6,07,464
 Price range for this vehicle in Fair condition","₹5,86,746 - ₹6,23,040
 Price range for this vehicle in Good condition","₹6,01,415 - ₹6,38,616
 Price range for this vehicle in Very Good condition","₹6,16,084 - ₹6,54,192
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-ertiga-zdi-shvs-2015-6131eefd9c3b49e5288b4720
MH 14,"₹2,49,436 - ₹2,64,865
 Price range for this vehicle in Fair condition","₹2,55,832 - ₹2,71,657
 Price range for this vehicle in Good condition","₹2,62,227 - ₹2,78,448
 Price range for this vehicle in Very Good condition","₹2,68,623 - ₹2,85,239
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-swift-vxi-2010-6131eaa65a6842ec048b45aa
